18.02,8.01,18.02
8.01,24.900,24.900
18.02,5.111,
24.900,5.111,24.900
8.01,5.111,5.111
18.02,24.900,24.900
18.06,6.100L,18.06
18.06,24.902,
24.902,21G.402,24.902
18.06,8.02,18.06
8.02,24.902,24.902
8.02,21G.402,21G.402
24.902,6.100L,
8.02,6.100L,6.100L
21G.402,6.100L,21G.402
18.06,21G.402,
24.141,3.983,3.983
6.370,24.951,24.951
6.101,24.141,
6.370,24.141,6.370
24.951,24.141,24.951
6.370,3.983,3.983
24.951,3.983,24.951
6.101,3.983,3.983
6.101,24.951,24.951
6.370,6.101,6.370
24.280,6.120,24.280
6.390,24.912,6.390
24.280,24.952,
24.912,24.952,24.952
24.912,24.280,24.280
6.390,24.952,24.952
24.952,6.120,24.952
6.390,24.280,
24.912,6.120,
6.390,6.120,6.390
24.970,24.211,24.970
6.861,24.260,6.861
6.861,24.970,24.970
6.861,24.211,
24.970,24.260,24.970
24.260,24.211,24.211
LING216,6.121,LING216
6.121,18.703,18.703
24.711,6.121,24.711
LING216,18.703,LING216
24.711,LING216,
24.711,18.703,24.711
24.970,24.952,24.970
24.970,6.101,24.970
24.970,8.02,24.970
6.390,8.02,6.390
24.711,18.06,24.711
24.711,LING216,24.711
24.711,24.280,24.711
3.983,6.861,3.983
3.983,LING216,LING216
3.983,24.211,3.983
6.101,8.02,6.101
6.101,6.121,6.101
24.211,6.120,24.211
24.141,24.260,24.260
24.951,24.952,24.951
24.912,24.211,24.211
6.861,6.370,
6.861,24.211,24.211
6.120,6.121,6.121
6.370,24.211,24.211
24.260,6.120,24.260
3.983,18.06,3.983
24.951,5.111,24.951
8.02,6.120,6.120
24.211,8.01,24.211
3.983,18.703,3.983
24.970,5.111,24.970
LING216,5.111,LING216
3.983,24.280,3.983
21G.402,24.952,21G.402
3.983,24.952,3.983
6.861,8.01,6.861
6.861,6.370,6.861
6.101,24.141,6.101
18.02,6.120,18.02
5.111,6.120,5.111
24.280,6.390,24.280
24.900,6.101,24.900
24.952,6.101,24.952
18.703,6.370,18.703
21G.402,18.703,21G.402
24.900,6.370,24.900
24.900,18.703,24.900
24.260,6.101,24.260
18.02,6.121,18.02
